question_name,question_id,version,tool_id,category,type,dimension_id,response_metric_id,max_score,weightage,question_benchmark,response_metric_benchmark,option_ids,option_labels,question_context,question_description,template_url,created_by,creation_date,last_modified_by,last_modified_date
NULL,Q-014,v1.0,SST-001,SST,Multi-choice,9,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,"We know how to enhance these strengths so that there are serious, on-going  barriers to entry of new competitors",template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-015,v1.0,SST-001,SST,Multi-choice,9,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,"We are building on strengths that we already have, and not critically dependant on capabilities that we will have to acquire.",template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-016,v1.0,SST-001,SST,Multi-choice,8,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,The critical capabilities required for success are spread across the organization (or plans to achieve this have been clearly outlined).,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-017,v1.0,SST-001,SST,Multi-choice,8,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,"We understand the ways in which our processes, structures, decision making mechanisms, reward systems need to change to enable the strategy to succeed.",template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-018,v1.0,SST-001,SST,Multi-choice,8,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,Our current culture will support our new strategy or new business model.,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-100,v1.0,SSTBR-001,SSTBR,Multi-choice,11,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know",60% of UK exports go to Europe. These are based on zero tariff. Competitiveness could be severely affected if tariffs result in higher prices. What would happen if:,The tariff changes to 10% (the WTO default),template.html,NULL,2010-05-18 12:52:00,NULL,2010-05-18 12:52:00
NULL,Q-100,v1.0,SSTBR-001,SSTBR,Multi-choice,11,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,The tariff changes to 10% (the WTO default),template.html,NULL,2010-05-18 12:57:00,NULL,2010-05-18 12:57:00
NULL,Q-100,v1.0,SSTBR-001,SSTBR,Multi-choice,11,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,The tariff changes to 10% (the WTO default),template.html,NULL,2010-05-18 12:59:00,NULL,2010-05-18 12:59:00
NULL,Q-101,v1.0,SSTBR-001,SSTBR,Multi-choice,11,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know","Replacing revenues from exports to Europe by exports to other countries (eg US, China, India) could be tough depending on how large the hole to fill is, and which market is targeted.",Inability to easily fill the hole from loss of exports to Europe,template.html,NULL,2010-05-18 13:56:00,NULL,2010-05-18 13:56:00
NULL,Q-101,v1.0,SSTBR-001,SSTBR,Multi-choice,11,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,Inability to easily fill the hole from loss of exports to Europe,template.html,NULL,2010-05-18 13:58:00,NULL,2010-05-18 13:58:00
NULL,Q-101,v1.0,SSTBR-001,SSTBR,Multi-choice,11,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,Inability to easily fill the hole from loss of exports to Europe,template.html,NULL,2010-05-18 13:58:00,NULL,2010-05-18 13:58:00
NULL,Q-102,v1.0,SSTBR-001,SSTBR,Multi-choice,11,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know",NULL,Inability (short term) to set up a competitive infrastructure in new markets,template.html,NULL,2010-05-18 14:00:00,NULL,2010-05-18 14:00:00
NULL,Q-102,v1.0,SSTBR-001,SSTBR,Multi-choice,11,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,Inability (short term) to set up a competitive infrastructure in new markets,template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
NULL,Q-102,v1.0,SSTBR-001,SSTBR,Multi-choice,11,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,Inability (short term) to set up a competitive infrastructure in new markets,template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
NULL,Q-103,v1.0,SSTBR-001,SSTBR,Multi-choice,12,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know",The � has already depreciated 15-20% since the announcement. Implications include: ,Impact on exports to Europe,template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
NULL,Q-103,v1.0,SSTBR-001,SSTBR,Multi-choice,12,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,Impact on exports to Europe,template.html,NULL,2010-05-18 14:03:00,NULL,2010-05-18 14:03:00
NULL,Q-103,v1.0,SSTBR-001,SSTBR,Multi-choice,12,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,Impact on exports to Europe,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-104,v1.0,SSTBR-001,SSTBR,Multi-choice,12,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know",NULL,Impact on exports to other markets,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-104,v1.0,SSTBR-001,SSTBR,Multi-choice,12,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,Impact on exports to other markets,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-104,v1.0,SSTBR-001,SSTBR,Multi-choice,12,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,Impact on exports to other markets,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-105,v1.0,SSTBR-001,SSTBR,Multi-choice,12,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know",NULL,Impact on costs of imported items,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-105,v1.0,SSTBR-001,SSTBR,Multi-choice,12,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,Impact on costs of imported items,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-105,v1.0,SSTBR-001,SSTBR,Multi-choice,12,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,Impact on costs of imported items,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-106,v1.0,SSTBR-001,SSTBR,Multi-choice,13,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know",50-60% of imports into the UK come from Europe. These are all at zero tariff. An increase in tariff could impact costs significantly. What would happen if:,The tariff changes to 10% (the WTO default),template.html,NULL,2010-05-18 12:52:00,NULL,2010-05-18 12:52:00
NULL,Q-106,v1.0,SSTBR-001,SSTBR,Multi-choice,13,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,The tariff changes to 10% (the WTO default),template.html,NULL,2010-05-18 12:57:00,NULL,2010-05-18 12:57:00
NULL,Q-106,v1.0,SSTBR-001,SSTBR,Multi-choice,13,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,The tariff changes to 10% (the WTO default),template.html,NULL,2010-05-18 12:59:00,NULL,2010-05-18 12:59:00
NULL,Q-107,v1.0,SSTBR-001,SSTBR,Multi-choice,13,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know","European labour is today freely available to sustain UK businesses. In many cases, replacing this with UK labour is either difficult or more expensive.",Exposure to risks of losing cheaper European labour,template.html,NULL,2010-05-18 13:56:00,NULL,2010-05-18 13:56:00
NULL,Q-107,v1.0,SSTBR-001,SSTBR,Multi-choice,13,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,Exposure to risks of losing cheaper European labour,template.html,NULL,2010-05-18 13:58:00,NULL,2010-05-18 13:58:00
NULL,Q-107,v1.0,SSTBR-001,SSTBR,Multi-choice,13,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,Exposure to risks of losing cheaper European labour,template.html,NULL,2010-05-18 13:58:00,NULL,2010-05-18 13:58:00
NULL,Q-108,v1.0,SSTBR-001,SSTBR,Multi-choice,13,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know","Complex Supply Chains have parts, components or assemblies moving back and forth between Europe and UK at zero tariffs or paperwork.","Seamless, duty-free movement is not posible",template.html,NULL,2010-05-18 14:00:00,NULL,2010-05-18 14:00:00
NULL,Q-108,v1.0,SSTBR-001,SSTBR,Multi-choice,13,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,"Seamless, duty-free movement is not posible",template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
NULL,Q-108,v1.0,SSTBR-001,SSTBR,Multi-choice,13,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,"Seamless, duty-free movement is not posible",template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
NULL,Q-109,v1.0,SSTBR-001,SSTBR,Multi-choice,14,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know","Many UK businesses depend on highly skilled personnel sourced from Europe or vice versa, sourced from UK and based in Europe. Some of these may be affected or need re-structuring",Impact on business of losing freedom of movement,template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
NULL,Q-109,v1.0,SSTBR-001,SSTBR,Multi-choice,14,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,Impact on business of losing freedom of movement,template.html,NULL,2010-05-18 14:03:00,NULL,2010-05-18 14:03:00
NULL,Q-109,v1.0,SSTBR-001,SSTBR,Multi-choice,14,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,Impact on business of losing freedom of movement,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-110,v1.0,SSTBR-001,SSTBR,Multi-choice,15,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know",Genuinely reflect ignorance or lack of knowledge/understanding.,Possibility that Europe selectively creates barriers for your industry,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-110,v1.0,SSTBR-001,SSTBR,Multi-choice,15,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,Possibility that Europe selectively creates barriers for your industry,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-110,v1.0,SSTBR-001,SSTBR,Multi-choice,15,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,Possibility that Europe selectively creates barriers for your industry,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-111,v1.0,SSTBR-001,SSTBR,Multi-choice,15,RM-002,5,NULL,NULL,0,"1,2,3,4","Low,Medium,High,Don\'t Know",NULL,Possibility new (non-European) markets have high non tariff barriers,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-111,v1.0,SSTBR-001,SSTBR,Multi-choice,15,RM-003,4,NULL,NULL,0,"1,2,3,4,5","Very Unlikely,Unlikely,Likely,Very Likely,Don\'t Know",NULL,Possibility new (non-European) markets have high non tariff barriers,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-111,v1.0,SSTBR-001,SSTBR,Multi-choice,15,RM-004,4,NULL,NULL,0,"1,2,3,4,5","Very High, High, Low, Very Low, Don\'t know",NULL,Possibility new (non-European) markets have high non tariff barriers,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-200,v1.0,SPP-001,SPP,Multi-choice,17,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",Full fledged strategic plans are not needed every year : depends on the industry,"We get the  frequency of strategic plans right not too often, not too few",template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 12:52:00
NULL,Q-200,v1.0,SPP-001,SPP,Multi-choice,17,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,"We get the  frequency of strategic plans right not too often, not too few",template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 12:57:00
NULL,Q-201,v1.0,SPP-001,SPP,Multi-choice,18,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High","To create a credible plan, involving the right levels and functions is essential",We involve the the right levels / functions across the organisation,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 12:59:00
NULL,Q-201,v1.0,SPP-001,SPP,Multi-choice,18,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well", ,We involve the the right levels / functions across the organisation,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 13:56:00
NULL,Q-202,v1.0,SPP-001,SPP,Multi-choice,19,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",The process is best kicked off with Top-Down Guidance about ambitions & priorities,Top management kicks off the process with guidance about ambitions & goals,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 13:58:00
NULL,Q-202,v1.0,SPP-001,SPP,Multi-choice,19,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,Top management kicks off the process with guidance about ambitions & goals,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 13:58:00
NULL,Q-203,v1.0,SPP-001,SPP,Multi-choice,20,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High","Where the strategy involves a major change of direction, it is essential to look rigorously at both external and internal factors  ",We involve external experts where they are required,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 14:00:00
NULL,Q-203,v1.0,SPP-001,SPP,Multi-choice,20,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,We involve external experts where they are required,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 14:01:00
NULL,Q-204,v1.0,SPP-001,SPP,Multi-choice,20,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",NULL,We carry out capability reviews as required,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 14:01:00
NULL,Q-204,v1.0,SPP-001,SPP,Multi-choice,20,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",,We carry out capability reviews as required,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 14:01:00
NULL,Q-205,v1.0,SPP-001,SPP,Multi-choice,20,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",NULL,We carry out technical reviews as required,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 14:03:00
NULL,Q-205,v1.0,SPP-001,SPP,Multi-choice,20,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,We carry out technical reviews as required,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 14:05:00
NULL,Q-206,v1.0,SPP-001,SPP,Multi-choice,21,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",Strategic plans are more a way of thinking than a numbers based outcome. The process should flex assumptions and test if the plan can survive some assumptions  going wrong,Shares / revenue assumptions being flexed to test +/-10% variance,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 14:05:00
NULL,Q-206,v1.0,SPP-001,SPP,Multi-choice,21,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,Shares / revenue assumptions being flexed to test +/-10% variance,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 14:05:00
NULL,Q-207,v1.0,SPP-001,SPP,Multi-choice,21,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",NULL,Costs / margins assumptions being flexed to test +/- 10% variance,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 14:05:00
NULL,Q-207,v1.0,SPP-001,SPP,Multi-choice,21,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,Costs / margins assumptions being flexed to test +/- 10% variance,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 14:05:00
NULL,Q-208,v1.0,SPP-001,SPP,Multi-choice,21,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",NULL,Base plan projections accompanied by a table of Upsides / Downsides to reflect uncertainties,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 14:05:00
NULL,Q-208,v1.0,SPP-001,SPP,Multi-choice,21,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,Base plan projections accompanied by a table of Upsides / Downsides to reflect uncertainties,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 14:05:00
NULL,Q-209,v1.0,SPP-001,SPP,Multi-choice,22,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High","When the strategy involves a major change in direction, the process must ensure that the organisation is prepared for the change.",Structure reviews,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 12:52:00
NULL,Q-209,v1.0,SPP-001,SPP,Multi-choice,22,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,Structure reviews,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 12:57:00
NULL,Q-210,v1.0,SPP-001,SPP,Multi-choice,22,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",NULL,Process reviews,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 12:59:00
NULL,Q-210,v1.0,SPP-001,SPP,Multi-choice,22,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,Process reviews,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 13:56:00
NULL,Q-211,v1.0,SPP-001,SPP,Multi-choice,22,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",NULL,Skill/capability reviews,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 13:58:00
NULL,Q-211,v1.0,SPP-001,SPP,Multi-choice,22,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,Skill/capability reviews,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 13:58:00
NULL,Q-212,v1.0,SPP-001,SPP,Multi-choice,22,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High",NULL,Rewards reviews,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 14:00:00
NULL,Q-212,v1.0,SPP-001,SPP,Multi-choice,22,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,Rewards reviews,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 14:01:00
NULL,Q-213,v1.0,SPP-001,SPP,Multi-choice,23,RM-005,5,0.66,NULL,NULL,"1,2,3","Low,Medium,High","However clever the strategy, it cannot work unless it is translated into actions and outcomes that can be assigned and tracked",Key actions & outcomes are reflected in annual plans,template.html,NULL,2018-11-28 11:17:07,NULL,2010-05-18 14:01:00
NULL,Q-213,v1.0,SPP-001,SPP,Multi-choice,23,RM-006,5,0.33,NULL,NULL,"1,2,3","Poor, Average, Very Well",NULL,Key actions & outcomes are reflected in annual plans,template.html,NULL,2018-11-28 11:17:13,NULL,2010-05-18 14:01:00
NULL,Q-300,v1.0,LIF-001,LIF,Multi-choice,28,RM-007,4,NULL,NULL,0,"1,2,3,4,5","No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",How confident are you that we exhibit the following leadership capabilities?,We set a clear direction and clear goals for individuals and teams we lead,template.html,NULL,2010-05-18 12:52:00,NULL,2010-05-18 12:52:00
NULL,Q-301,v1.0,LIF-001,LIF,Multi-choice,28,RM-007,4,NULL,NULL,0,"1,2,3,4,5","No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",NULL,We coach individuals and teams to deliver high performance,template.html,NULL,2010-05-18 12:57:00,NULL,2010-05-18 12:57:00
NULL,Q-302,v1.0,LIF-001,LIF,Multi-choice,28,RM-007,4,NULL,NULL,0,"1,2,3,4,5","No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",NULL,We leverage talent and capability across our business to optimise our collective impact,template.html,NULL,2010-05-18 12:59:00,NULL,2010-05-18 12:59:00
NULL,Q-303,v1.0,LIF-001,LIF,Multi-choice,28,RM-007,4,NULL,NULL,0,"1,2,3,4,5","No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",NULL,We regularly seek feedback to challenge ourselves to continuously improve,template.html,NULL,2010-05-18 13:56:00,NULL,2010-05-18 13:56:00
NULL,Q-304,v1.0,LIF-001,LIF,Multi-choice,28,RM-007,4,NULL,NULL,0,"1,2,3,4,5","No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",NULL,We champion agile ways of working that deliver excllence for all our stakeholders,template.html,NULL,2010-05-18 13:58:00,NULL,2010-05-18 13:58:00
NULL,Q-305,v1.0,LIF-001,LIF,Multi-choice,29,RM-007,4,NULL,NULL,0,"1,2,3,4,5","No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",How confident are you that we exhibit the following leadership capabilities?,We understand the impact of Industry 4.0 in our markets ,template.html,NULL,2010-05-18 13:58:00,NULL,2010-05-18 13:58:00
NULL,Q-306,v1.0,LIF-001,LIF,Multi-choice,29,RM-007,4,NULL,NULL,0,"1,2,3,4,5","No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",NULL,We know how to meet our customers' changing business needs,template.html,NULL,2010-05-18 14:00:00,NULL,2010-05-18 14:00:00
NULL,Q-307,v1.0,LIF-001,LIF,Multi-choice,29,RM-007,4,NULL,NULL,0,"1,2,3,4,5","No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",NULL,We work in partnership to develop distinctive customer solutions,template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
