tool_id,questionnaire_id,page_id,dimension_id,no_of_questions,question_no,question_context,question_id,max_score,response_metric_id,reponse_options_label,remarks,created_by,creation_date,last_modified_by,last_modified_date,question_description,question_type,option_ids
BEF-001,Navigator,PG-141,72,3,2,,Q-701,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Whole system leadership: one voice,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-141,72,3,3,,Q-702,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Clear on shared outcomes and system impact,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-142,56,3,6,,Q-705,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,"Clear on purpose, strategy, goals, vision of success",Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-142,72,3,4, ,Q-703,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Clear on boundaries/areas of collaboration,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-142,72,3,5,How confident are you that our Board exhibits the following capabilities?,Q-704,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Right level of information and questions,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-143,56,3,7,,Q-706,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Clear on priority actions,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-143,56,3,8, ,Q-707,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Clear on optimal allocation of resources ,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-143,56,3,9,,Q-708,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Collective leadership and improvement behaviours,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-144,56,3,10,How confident are you that our Board exhibits the following capabilities?,Q-709,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Robust strategic comms and engagement,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-144,57,3,11,,Q-710,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Role models for Compassionate & Inclusive Leadership,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-144,57,3,12, ,Q-711,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Clear on leadership outcomes and impact ,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-145,57,3,13,,Q-712,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Sustainable improvement & innovation capability ,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-145,57,3,14, ,Q-713,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Appropriate Exec performance management,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-145,57,3,15,,Q-714,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Robust Exec succession talent / leadership development,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-146,57,3,16,How confident are you that our Board exhibits the following capabilities?,Q-715,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Strong continuous learning & improvement culture,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-146,58,3,17,,Q-716,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Right balance of short/long term gains and risks,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-146,58,3,18, ,Q-717,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Effective risk management of strategy & execution,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-147,58,3,19,How confident are you that our Board exhibits the following capabilities?,Q-718,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Balanced impact measurement,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-147,59,3,20, ,Q-719,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Clear on accountabilities robust processes to support,Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-147,59,3,21,,Q-720,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,"Optimal board impact eg: agenda topics, decisions, actions",Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-148,59,1,22,,Q-721,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,"Board continuous learning, improvement and evaluation",Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-101,44,3,1,To what extent do you see the following behaviours/characteristics within your organisation?,Q-500,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,A strong/several strong leaders who dominate the decision making ,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-101,44,3,2,,Q-501,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Decisions are made in the absence of strong rules / only when the strong individual allows it,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-101,44,3,3,,Q-502,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Employees try as hard as they can to 'get close to the action',Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-102,44,3,4,,Q-503,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,People are sometimes seen to be 'not important',Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-102,45,3,5,To what extent do you see the following behaviours/characteristics within your organisation?,Q-504,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Functions stick rigidly to their own rules when making decisions / creating policy,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-102,45,3,6,,Q-505,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Functions work is seen as 'correct' and effective,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-103,45,3,7,,Q-506,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Common use of processes and policies are usually applied,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-103,45,3,8,,Q-507,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Conscious lack of flexibility and discussion ,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-103,46,3,9,To what extent do you see the following behaviours/characteristics within your organisation?,Q-508,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Management attempts to resolve issues by utilising their own expertise,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-104,46,3,10,,Q-509,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Employees work well together in small loose-hard work units (e.g. agile/scrums).,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-104,46,3,11,,Q-510,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Results are considered first and procedures are applied later,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-104,46,3,12,,Q-511,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,"Career success is iusually granted to those who demonstrate dedication, expertise and success ",Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-105,47,3,13,To what extent do you see the following behaviours/characteristics within your organisation?,Q-512,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,People are seen to be more important than the Organisation and growth of the Organisation is not critical,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-105,47,3,14,,Q-513,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,The manager is given equal status to the employee ,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-105,47,3,15,,Q-514,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,There are few rules and procedures,Multi-choice,"1,2,3,4,5"
CB-001,Navigator,PG-106,47,1,16,,Q-515,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Leadership must happen naturally - there is no hierarchy,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-061,28,3,1,How confident are you that we exhibit the following leadership capabilities?,Q-300,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We set a clear direction and clear goals for individuals and teams we lead,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-061,28,3,2,NULL,Q-301,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We coach individuals and teams to deliver high performance,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-061,28,3,3,NULL,Q-302,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We leverage talent and capability across our business to optimise our collective impact,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-062,28,3,4,NULL,Q-303,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We regularly seek feedback to challenge ourselves to continuously improve,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-062,28,3,5,NULL,Q-304,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We champion agile ways of working that deliver excllence for all our stakeholders,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-062,29,3,6,How confident are you that we exhibit the following leadership capabilities?,Q-305,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We understand the impact of Industry 4.0 in our markets ,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-063,29,3,7,NULL,Q-306,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We know how to meet our customers' changing business needs,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-063,29,3,8,NULL,Q-307,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We work in partnership to develop distinctive customer solutions,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-063,29,3,9,NULL,Q-308,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We drive the development or market leading technologies and/or capabilities,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-064,29,3,10,NULL,Q-309,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We allocate resources optimally to ensure the delivery of our business's strategic priorities,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-064,30,3,11,How confident are you that we exhibit the following leadership capabilities?,Q-310,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,"We see the whole system: big picture and detail, short and long-term ",Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-064,30,3,12,NULL,Q-311,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We identify opportunities and challenges where we will need to lead others through change to overcome resistance  ,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-065,30,3,13,NULL,Q-312,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We decide on whether and how to respond to complex opportunities and challenges,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-065,30,3,14,NULL,Q-313,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We consider the impact on all stakeholders in our decision making,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-065,30,3,15,NULL,Q-314,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We work effectively in complexity and ambiguity to find the best solution for all stakeholders (VUCA),Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-066,31,3,16,How confident are you that we exhibit the following leadership capabilities?,Q-315,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We communicate a clear message around our companies' values,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-066,31,3,17,NULL,Q-316,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We role model the business values in all our behaviours,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-066,31,3,18,NULL,Q-317,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We nurture a diverse and inclusive working environment,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-067,31,2,19,NULL,Q-318,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We support individuals and teams through change and transition,Multi-choice,"1,2,3,4,5"
LIF-001,Navigator,PG-067,31,2,20,NULL,Q-319,4,RM-007,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We play a leading role in the teams that we are each part of across the business,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-161,62,3,1,,Q-800,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that there are no risks of technology obselescence in the foreseeable future,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-161,62,3,2,,Q-801,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Patent protection for our technology / discoveries will last for the foreseeable future,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-161,62,3,3,,Q-802,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are fully prepared to deal with risks associated with data or system breaches,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-162,63,3,4,,Q-803,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that there will not be any changes in regulation that may threaten our business model or our core products.,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-162,63,3,5,,Q-804,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Financial reporting and compliance standards are followed meticulously across all parts of the business,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-162,63,3,6,,Q-805,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Financial reporting and compliance standards are followed meticulously across all parts of the business,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-163,63,3,7,,Q-806,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We comply fully with data storage and usage regulations,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-163,64,3,8,,Q-807,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that we have the skills and competences required to deliver our strategy,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-163,64,3,9,,Q-808,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,"We are training, nurturing and preparing the next generation of people required to deliver our strategy",Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-164,65,3,10,,Q-809,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that our basic revenue model is not under threat from disintermediation by potentially new competitors in the digital arena,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-164,65,3,11,,Q-810,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that there is no risk of manipulation of financial results for short term gains (eg artificial boosting of sales),Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-164,65,3,12,,Q-811,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that there is no risk of manipulation of financial results for short term gains (eg artificial boosting of sales),Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-165,65,3,13,,Q-812,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that cost assumptions that are central to our financial health are not under threat in the foreseeable future,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-165,65,3,14,,Q-813,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that there is no risk of Balance Sheet impairment by a loss or writing down of Brand Valuations,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-165,66,3,15,,Q-814,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that there are no impending risks of negative publicity regarding our products or processes that could affect the valuation of the business,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-166,66,3,16,,Q-815,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,We are confident that there are no impending risks of negative publicity regarding our products or processes that could affect the valuation of the business,Multi-choice,"1,2,3,4,5"
RG-001,Navigator,PG-166,67,3,17,,Q-816,4,RM-001,"Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Strategic Planning regularly includes detailed technology landscape analyses,Multi-choice,"1,2,3,4,5"
